section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152536570000,"""28""",328.532,559.411,794.546,493.395,735.532,1011.709,284.342,1044.54
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152573070000,"""28""",389.997,145.1,896.967,352.064,633.022,1029.978,282.959,1044.333
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152599850000,"""25;28""",302.571,690.333,609.206,694.296,671.092,1019.971,280.239,1041.808
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152640280000,"""28""",298.737,700.287,588.868,713.296,658.449,1026.643,277.443,1039.945
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152672150000,"""28""",311.886,572.469,621.431,680.495,590.867,1030.366,274.007,1040.45
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152697360000,"""25;28""",293.918,690.747,599.498,696.337,661.14,1020.735,270.302,1041.2
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152733870000,"""25;28""",288.077,689.45,594.889,694.962,658.729,1019.518,267.984,1039.76
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152766670000,"""24;25;28""",287.773,690.677,594.539,694.721,658.214,1019.733,267.446,1039.324
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381152800160000,"""24;25;28""",288.39,690.702,595.46,695.361,658.326,1019.633,267.675,1038.937
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153041160000,"""24;25;28""",286.819,686.517,592.452,689.83,657.902,1011.469,267.978,1033.606
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153068810000,"""24;25;28""",285.691,683.972,591.121,684.856,657.11,1008.299,267.442,1030.832
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153101960000,"""25;28""",287.873,681.825,591.518,683.094,656.368,1003.732,266.838,1026.466
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153135210000,"""25;28""",288.251,675.799,592.967,675.798,656.52,1000.805,267.347,1023.497
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153171340000,"""24;25;28""",285.759,674.752,593.218,675.15,656.536,1000.073,267.468,1022.451
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153205020000,"""24;25;28""",284.882,674.02,590.561,675.873,654.693,999.457,265.521,1021.382
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153232610000,"""25;28""",285.676,671.086,589.729,676.406,651.344,997.643,262.409,1019.114
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153268550000,"""24;25;28""",280.435,669.545,586.173,672.99,649.832,995.713,260.842,1016.999
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153301120000,"""24;25;28""",279.847,667.378,585.719,672.274,649.207,993.66,260.376,1014.74
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153332560000,"""24;25;28""",280.485,665.372,585.651,669.257,649.687,991.728,261.084,1012.786
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153368980000,"""24;25;28""",281.27,663.337,587.635,664.928,650.447,989.607,261.699,1010.68
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153404920000,"""24;25;28""",281.495,661.69,585.966,664.896,650.491,987.841,261.935,1009.124
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153432400000,"""24;25;28""",281.058,660.909,587.915,663.701,650.08,986.51,261.891,1008.345
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153475910000,"""24;25;28""",280.767,660.283,584.438,663.138,649.893,985.251,261.651,1007.326
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153507520000,"""24;25;28""",280.815,658.777,584.318,663.956,650.258,983.026,262.367,1005.599
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153547070000,"""24;25;28""",281.562,656.966,587.315,657.601,651.26,980.873,263.62,1003.587
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153577680000,"""24;25;28""",282.678,656.103,588.568,654.926,652.488,979.176,265.414,1002.803
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,1749381153610800000,"""24;25;28""",283.195,655.252,588.465,656.301,653.615,976.833,267.012,1001.622
